enfermedad,sintoma
gripe,fiebre_alta
gripe,dolor_de_cuerpo
gripe,dolor_corporal
gripe,congestion_nasal
gripe,dolor_de_garganta
gripe,tos
dengue,fiebre_alta
dengue,dolor_de_articulaciones_severo
dengue,erupcion_cutanea
dengue,fatiga_extrema
resfriado,congestion_nasal
resfriado,estornudos
resfriado,tos_leve
covid19,fiebre_moderada
covid19,tos_seca_persistente
covid19,dificultad_respiratoria
covid19,perdida_de_olfato_y_gusto
alergia,estornudos_frecuentes
alergia,congestion_nasal
alergia,picazon_de_ojos
migraña,dolor_de_cabeza_lado_unico
migraña,fotofobia
migraña,vomitos
sinusitis,dolor_frontal
sinusitis,congestion_nasal
sinusitis,dolor_de_cara
apendicitis,dolor_abdominal_inferior_derecho
apendicitis,nauseas
apendicitis,fiebre_leve
asma,dificultad_respiratoria
asma,silbidos_al_respirar
asma,dolor_en_el_pecho
neumonía,fiebre_alta
neumonía,tos_con_flema
neumonía,dificultad_respiratoria
gastroenteritis,diarrea
gastroenteritis,nauseas
gastroenteritis,vomitos
insuficiencia_renal,orina_espumosa
insuficiencia_renal,hinchazon_de_piernas
insuficiencia_renal,fatiga_extrema
diabetes,sed_excesiva
diabetes,perdida_peso_inexplicable
diabetes,visibilidad_borrosa
hipertensión,dolor_de_cabeza_persistente
hipertensión,hemorragia_nasal
hipertensión,confusion_mental
artritis,dolor_articular_crónico
artritis,rigidez_matutina
artritis,hinchazon_articular
cálculos_renales,dolor_en_zona_lumbar
cálculos_renales,orina_oscura
cálculos_renales,nauseas
dermatitis,erupcion_cutanea
dermatitis,picazon_intensa
dermatitis,rojez_piel
gripe_aviaria,fiebre_alta
gripe_aviaria,dificultad_respiratoria
gripe_aviaria,dolor_de_musculos
meningitis,rigidez_en_el_cuello
meningitis,fiebre_alta
meningitis,dolor_de_cabeza_severo
tuberculosis,tos_crónica_con_sangre
tuberculosis,pérdida_de_peso
tuberculosis,sudores_nocturnos
hepatitis,ictericia
hepatitis,dolor_abdominal_superior_derecho
hepatitis,fatiga_cronica
viruela,erupcion_cutanea
viruela,fiebre_alta
viruela,malestar_general
