enfermedad,pregunta
gripe,"¿Ha tenido fiebre alta en los últimos días?"
dengue,"¿Ha sentido dolor intenso en las articulaciones recientemente?"
resfriado,"¿Ha notado congestión nasal persistente?"
covid19,"¿Ha tenido dificultad para respirar?"
alergia,"¿Ha presentado estornudos frecuentes sin fiebre?"
migraña,"¿Siente náuseas o vómitos durante el dolor de cabeza?"
sinusitis,"¿Siente presión en la frente o detrás de los ojos?"
apendicitis,"¿Ha notado un dolor agudo en la parte baja del abdomen?"
asma,"¿Experimenta dificultad al realizar actividades físicas?"
neumonía,"¿Siente una respiración más difícil de lo normal?"
gastroenteritis,"¿Ha tenido episodios frecuentes de diarrea?"
insuficiencia_renal,"¿Siente hinchazón en las piernas o tobillos?"
diabetes,"¿Siente sed excesiva a pesar de beber agua?"
hipertensión,"¿Ha experimentado confusión mental o mareos?"
artritis,"¿Ha notado hinchazón en las articulaciones afectadas?"
cálculos_renales,"¿Siente dolor al orinar o sangre en la orina?"
dermatitis,"¿Ha notado enrojecimiento o inflamación en la piel?"
gripe_aviaria,"¿Ha tenido fiebre alta y dificultad para respirar?"
meningitis,"¿Ha experimentado fiebre y rigidez en el cuello?"
tuberculosis,"¿Ha notado sudores nocturnos excesivos?"
hepatitis,"¿Ha tenido cambios en el color de su piel o ojos?"
viruela,"¿Ha tenido contacto cercano con alguien con erupciones?"
